Dates,ACTUAL (mm)
May-2015,539.8
Jun-2015,1232.2
Jul-2015,212.2
Aug-2015,589.2
Sep-2015,179.4
Oct-2015,5
Nov-2015,12.4
Dec-2015,0
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,0
May-2016,397.6
Jun-2016,442.4
Jul-2016,511.2
Aug-2016,171.6
Sep-2016,206.2
Oct-2016,125.8
Nov-2016,0
Dec-2016,0.3
Jan-2017,0
Feb-2017,24.6
Mar-2017,94.2
Apr-2017,456
May-2017,358.4
Jun-2017,474.6
Jul-2017,364.6
Aug-2017,381.2
Sep-2017,314.9
Oct-2017,139.8
Nov-2017,0
Dec-2017,0
Jan-2018,0
Feb-2018,11.4
Mar-2018,24.2
Apr-2018,186
May-2018,389
Jun-2018,328
Jul-2018,257.8
Aug-2018,225.6
Sep-2018,466.8
Oct-2018,52
Nov-2018,4.2
Dec-2018,3.8
Jan-2019,0
Feb-2019,13.2
Mar-2019,25.6
Apr-2019,112.7
May-2019,506.6
Jun-2019,2
Jul-2019,361.2
Aug-2019,342.4
Sep-2019,493.6
Oct-2019,517.7
Nov-2019,9
Dec-2019,0
Jan-2020,0
Feb-2020,12
Mar-2020,0
Apr-2020,37.9
May-2020,491
Jun-2020,1008.8
Jul-2020,956.2
Aug-2020,415.4
Sep-2020,712.7
Oct-2020,62.2
Nov-2020,0
Dec-2020,0
Jan-2021,0.6
Feb-2021,0
Mar-2021,164
Apr-2021,93.2
May-2021,253.5
Jun-2021,178.6
Jul-2021,180.4
Aug-2021,476.8
Sep-2021,208.4
Oct-2021,97
Nov-2021,0
Dec-2021,0
Jan-2022,5
Feb-2022,20.6
Mar-2022,12
Apr-2022,83.6
May-2022,534
Jun-2022,0
Jul-2022,0
