Dates,ACTUAL (mm)
May-2015,332.4
Jun-2015,967.5
Jul-2015,370.8
Aug-2015,560.2
Sep-2015,497.6
Oct-2015,88.8
Nov-2015,0
Dec-2015,0
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,60.4
May-2016,111.6
Jun-2016,302.6
Jul-2016,467.7
Aug-2016,87.47
Sep-2016,112.2
Oct-2016,81.4
Nov-2016,98
Dec-2016,0
Jan-2017,0
Feb-2017,0
Mar-2017,13
Apr-2017,69.2
May-2017,176.6
Jun-2017,396.2
Jul-2017,224.4
Aug-2017,333.8
Sep-2017,227.2
Oct-2017,51.6
Nov-2017,2.2
Dec-2017,0
Jan-2018,0
Feb-2018,25.8
Mar-2018,41.2
Apr-2018,228.2
May-2018,23.2
Jun-2018,14.6
Jul-2018,14
Aug-2018,57.4
Sep-2018,70.6
Oct-2018,88.4
Nov-2018,34
Dec-2018,10
Jan-2019,3
Feb-2019,23.6
Mar-2019,41.4
Apr-2019,136
May-2019,234.8
Jun-2019,14.8
Jul-2019,196.1
Aug-2019,288.8
Sep-2019,863.3
Oct-2019,213.6
Nov-2019,165.4
Dec-2019,798.5
Jan-2020,2949.1
Feb-2020,70.4
Mar-2020,1.6
Apr-2020,1445.5
May-2020,1079.3
Jun-2020,653.6
Jul-2020,1095.6
Aug-2020,1117.6
Sep-2020,755.8
Oct-2020,341.6
Nov-2020,36
Dec-2020,9.6
Jan-2021,34.8
Feb-2021,2.5
Mar-2021,141.4
Apr-2021,39.2
May-2021,478.1
Jun-2021,546.9
Jul-2021,785
Aug-2021,841.4
Sep-2021,498.6
Oct-2021,150.4
Nov-2021,1.2
Dec-2021,0
Jan-2022,31.6
Feb-2022,70.2
Mar-2022,10.6
Apr-2022,234.6
May-2022,0
Jun-2022,0
Jul-2022,0
