Dates,ACTUAL (mm)
May-2015,189
Jun-2015,274
Jul-2015,294.5
Aug-2015,210.6
Sep-2015,207.4
Oct-2015,145.8
Nov-2015,0
Dec-2015,0
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,296.8
May-2016,379.2
Jun-2016,139.8
Jul-2016,311.4
Aug-2016,283.2
Sep-2016,330
Oct-2016,63.4
Nov-2016,32
Dec-2016,0
Jan-2017,0
Feb-2017,0
Mar-2017,13.8
Apr-2017,142.6
May-2017,212.4
Jun-2017,205.8
Jul-2017,352.5
Aug-2017,152.8
Sep-2017,179.1
Oct-2017,160.4
Nov-2017,0
Dec-2017,0
Jan-2018,3.4
Feb-2018,18.4
Mar-2018,116.2
Apr-2018,152
May-2018,0
Jun-2018,2.6
Jul-2018,2.6
Aug-2018,13.4
Sep-2018,293.6
Oct-2018,34
Nov-2018,12
Dec-2018,39
Jan-2019,4.6
Feb-2019,47.8
Mar-2019,106.8
Apr-2019,172
May-2019,366.6
Jun-2019,44
Jul-2019,145
Aug-2019,106.6
Sep-2019,277.6
Oct-2019,201.2
Nov-2019,0
Dec-2019,0
Jan-2020,24.8
Feb-2020,8.4
Mar-2020,0
Apr-2020,244
May-2020,252.8
Jun-2020,392.7
Jul-2020,322.6
Aug-2020,255.2
Sep-2020,153.2
Oct-2020,36.2
Nov-2020,36.2
Dec-2020,0
Jan-2021,21
Feb-2021,0
Mar-2021,44.2
Apr-2021,41.2
May-2021,247.9
Jun-2021,403.8
Jul-2021,570.6
Aug-2021,167
Sep-2021,172.8
Oct-2021,44
Nov-2021,7.4
Dec-2021,9
Jan-2022,20
Feb-2022,59.2
Mar-2022,29.2
Apr-2022,203.6
May-2022,0
Jun-2022,0
Jul-2022,0
