Dates,ACTUAL (mm)
May-2015,91.9
Jun-2015,157.9
Jul-2015,154.1
Aug-2015,173.5
Sep-2015,102.9
Oct-2015,81.7
Nov-2015,0
Dec-2015,0
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,130.1
May-2016,115.6
Jun-2016,211.7
Jul-2016,257.5
Aug-2016,243
Sep-2016,190
Oct-2016,2.3
Nov-2016,123.8
Dec-2016,0
Jan-2017,0
Feb-2017,0
Mar-2017,1.5
Apr-2017,94.9
May-2017,109.9
Jun-2017,150.2
Jul-2017,314.1
Aug-2017,154.7
Sep-2017,68.5
Oct-2017,150.3
Nov-2017,6.5
Dec-2017,11.4
Jan-2018,10.5
Feb-2018,3.8
Mar-2018,75.8
Apr-2018,49.9
May-2018,5.5
Jun-2018,0
Jul-2018,0
Aug-2018,11
Sep-2018,93.5
Oct-2018,16
Nov-2018,2.8
Dec-2018,38.5
Jan-2019,0
Feb-2019,10.6
Mar-2019,39.6
Apr-2019,37.6
May-2019,146.4
Jun-2019,8.2
Jul-2019,8.1
Aug-2019,157.8
Sep-2019,206
Oct-2019,232.6
Nov-2019,254
Dec-2019,19
Jan-2020,109
Feb-2020,98
Mar-2020,3
Apr-2020,58
May-2020,433.3
Jun-2020,112
Jul-2020,199.1
Aug-2020,182
Sep-2020,244.9
Oct-2020,137.2
Nov-2020,0
Dec-2020,0
Jan-2021,0
Feb-2021,0
Mar-2021,59
Apr-2021,7
May-2021,48
Jun-2021,202.8
Jul-2021,206.4
Aug-2021,61
Sep-2021,165.6
Oct-2021,48.1
Nov-2021,0
Dec-2021,2.2
Jan-2022,41.6
Feb-2022,32.6
Mar-2022,18.2
Apr-2022,193
May-2022,0
Jun-2022,0
Jul-2022,0
