Dates,ACTUAL (mm)
May-2015,366.2
Jun-2015,1120.3
Jul-2015,505.2
Aug-2015,801.6
Sep-2015,713.8
Oct-2015,77.4
Nov-2015,31.2
Dec-2015,13.4
Jan-2016,21.4
Feb-2016,90.2
Mar-2016,96
Apr-2016,266.2
May-2016,309
Jun-2016,826.6
Jul-2016,1086.6
Aug-2016,393.2
Sep-2016,454.2
Oct-2016,283.2
Nov-2016,0
Dec-2016,0
Jan-2017,2.4
Feb-2017,0
Mar-2017,61.8
Apr-2017,426.4
May-2017,235.2
Jun-2017,728.2
Jul-2017,1301.3
Aug-2017,577.6
Sep-2017,705.6
Oct-2017,425.6
Nov-2017,6.2
Dec-2017,9
Jan-2018,38.6
Feb-2018,4.8
Mar-2018,42.8
Apr-2018,162.4
May-2018,60.4
Jun-2018,43.4
Jul-2018,52.2
Aug-2018,17.6
Sep-2018,192
Oct-2018,71.4
Nov-2018,32.6
Dec-2018,9.6
Jan-2019,1
Feb-2019,51
Mar-2019,68.9
Apr-2019,110.6
May-2019,268.2
Jun-2019,4.8
Jul-2019,342
Aug-2019,130.1
Sep-2019,677.2
Oct-2019,317.4
Nov-2019,53.4
Dec-2019,31
Jan-2020,224.8
Feb-2020,127
Mar-2020,50
Apr-2020,91
May-2020,2092.7
Jun-2020,639.8
Jul-2020,821.48
Aug-2020,490.9
Sep-2020,792.5
Oct-2020,242.18
Nov-2020,19.2
Dec-2020,6.1
Jan-2021,15.3
Feb-2021,0
Mar-2021,39.3
Apr-2021,262.9
May-2021,348.7
Jun-2021,774.9
Jul-2021,822.3
Aug-2021,586.2
Sep-2021,149.3
Oct-2021,207
Nov-2021,9
Dec-2021,5.6
Jan-2022,19.6
Feb-2022,112.26
Mar-2022,19
Apr-2022,321.6
May-2022,0
Jun-2022,0
Jul-2022,0
