Dates,ACTUAL (mm)
May-2015,415.8
Jun-2015,518.4
Jul-2015,221.8
Aug-2015,533.4
Sep-2015,204.8
Oct-2015,51
Nov-2015,13.6
Dec-2015,0
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,17.8
May-2016,289.4
Jun-2016,413.2
Jul-2016,388.6
Aug-2016,72.8
Sep-2016,57.2
Oct-2016,42
Nov-2016,0
Dec-2016,0
Jan-2017,8.2
Feb-2017,51.2
Mar-2017,86.6
Apr-2017,239.5
May-2017,205.7
Jun-2017,429
Jul-2017,260.2
Aug-2017,386.2
Sep-2017,326.4
Oct-2017,37.2
Nov-2017,2.6
Dec-2017,0.8
Jan-2018,0
Feb-2018,9
Mar-2018,111
Apr-2018,55.4
May-2018,293.8
Jun-2018,325.8
Jul-2018,319.8
Aug-2018,248.4
Sep-2018,469.8
Oct-2018,14.2
Nov-2018,32.2
Dec-2018,20.8
Jan-2019,0
Feb-2019,32
Mar-2019,31.8
Apr-2019,264.8
May-2019,585.6
Jun-2019,9.2
Jul-2019,207
Aug-2019,193.8
Sep-2019,199.4
Oct-2019,37.6
Nov-2019,4.2
Dec-2019,0.5
Jan-2020,8.8
Feb-2020,0
Mar-2020,0
Apr-2020,36.6
May-2020,532.8
Jun-2020,983
Jul-2020,1038.8
Aug-2020,181
Sep-2020,520.3
Oct-2020,74.2
Nov-2020,0
Dec-2020,0
Jan-2021,24.2
Feb-2021,14.4
Mar-2021,25.6
Apr-2021,38.6
May-2021,275.8
Jun-2021,517.6
Jul-2021,220.6
Aug-2021,289.9
Sep-2021,316.4
Oct-2021,24.8
Nov-2021,0
Dec-2021,0
Jan-2022,13.8
Feb-2022,24.8
Mar-2022,92.8
Apr-2022,505.8
May-2022,608.5
Jun-2022,500.7
Jul-2022,572.5
