Dates,ACTUAL (mm)
May-2015,216.8
Jun-2015,193.1
Jul-2015,357.6
Aug-2015,369.12
Sep-2015,179.8
Oct-2015,67.6
Nov-2015,0
Dec-2015,0
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,82.2
May-2016,197
Jun-2016,239.9
Jul-2016,299.26
Aug-2016,109
Sep-2016,368
Oct-2016,207.9
Nov-2016,3.6
Dec-2016,0
Jan-2017,0
Feb-2017,0
Mar-2017,0
Apr-2017,145.8
May-2017,160.8
Jun-2017,297
Jul-2017,239
Aug-2017,309.6
Sep-2017,96.2
Oct-2017,144
Nov-2017,26
Dec-2017,0
Jan-2018,0
Feb-2018,0
Mar-2018,22.2
Apr-2018,85.4
May-2018,8.6
Jun-2018,1
Jul-2018,1
Aug-2018,0
Sep-2018,46.4
Oct-2018,0.6
Nov-2018,0
Dec-2018,25.6
Jan-2019,4.2
Feb-2019,6.4
Mar-2019,60.4
Apr-2019,75.4
May-2019,128.4
Jun-2019,23.8
Jul-2019,78.4
Aug-2019,174.7
Sep-2019,365.8
Oct-2019,145.5
Nov-2019,0
Dec-2019,0
Jan-2020,78.4
Feb-2020,6.4
Mar-2020,0
Apr-2020,29
May-2020,648.8
Jun-2020,270.8
Jul-2020,124
Aug-2020,11
Sep-2020,236.2
Oct-2020,208.8
Nov-2020,0
Dec-2020,0
Jan-2021,0
Feb-2021,7.2
Mar-2021,33.6
Apr-2021,59.8
May-2021,271.2
Jun-2021,175.76
Jul-2021,228
Aug-2021,170.6
Sep-2021,215
Oct-2021,135.6
Nov-2021,0
Dec-2021,0
Jan-2022,41
Feb-2022,27.8
Mar-2022,7.2
Apr-2022,106
May-2022,9.2
Jun-2022,0
Jul-2022,0
