Dates,ACTUAL (mm)
May-2015,515
Jun-2015,766.9
Jul-2015,185
Aug-2015,458.2
Sep-2015,309.8
Oct-2015,13.6
Nov-2015,18.6
Dec-2015,0
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,0
May-2016,481.4
Jun-2016,718
Jul-2016,419.9
Aug-2016,214.6
Sep-2016,249.4
Oct-2016,200.8
Nov-2016,0
Dec-2016,2.4
Jan-2017,1.2
Feb-2017,0
Mar-2017,51
Apr-2017,514
May-2017,297
Jun-2017,469.8
Jul-2017,303.8
Aug-2017,284.8
Sep-2017,492.4
Oct-2017,131
Nov-2017,0
Dec-2017,0
Jan-2018,0
Feb-2018,3.4
Mar-2018,85.2
Apr-2018,221.4
May-2018,572.8
Jun-2018,347.7
Jul-2018,216.2
Aug-2018,159.6
Sep-2018,386.4
Oct-2018,28.8
Nov-2018,7.2
Dec-2018,5.4
Jan-2019,0
Feb-2019,51
Mar-2019,29.66
Apr-2019,191.6
May-2019,353.4
Jun-2019,25.4
Jul-2019,160.2
Aug-2019,126
Sep-2019,339.6
Oct-2019,135.6
Nov-2019,1.4
Dec-2019,0
Jan-2020,9.2
Feb-2020,0
Mar-2020,0
Apr-2020,191.4
May-2020,631.4
Jun-2020,520
Jul-2020,639.6
Aug-2020,400.5
Sep-2020,660.4
Oct-2020,220.2
Nov-2020,0
Dec-2020,0
Jan-2021,0
Feb-2021,0
Mar-2021,3.4
Apr-2021,73
May-2021,299.6
Jun-2021,253
Jul-2021,448.4
Aug-2021,431.6
Sep-2021,92.8
Oct-2021,361.6
Nov-2021,0
Dec-2021,1.2
Jan-2022,0
Feb-2022,50.4
Mar-2022,22.6
Apr-2022,342.8
May-2022,349.8
Jun-2022,0
Jul-2022,0
