Dates,ACTUAL (mm)
May-2015,232.5
Jun-2015,346.1
Jul-2015,164.6
Aug-2015,691.4
Sep-2015,165.5
Oct-2015,9.3
Nov-2015,0
Dec-2015,0
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,92.8
May-2016,156.7
Jun-2016,121
Jul-2016,346.5
Aug-2016,116.5
Sep-2016,235.7
Oct-2016,82.8
Nov-2016,1.3
Dec-2016,0
Jan-2017,6
Feb-2017,152.4
Mar-2017,89.4
Apr-2017,276.9
May-2017,391
Jun-2017,452.3
Jul-2017,346.1
Aug-2017,323.5
Sep-2017,194.6
Oct-2017,224
Nov-2017,0
Dec-2017,0
Jan-2018,17.9
Feb-2018,9.2
Mar-2018,129.3
Apr-2018,134.2
May-2018,0
Jun-2018,0
Jul-2018,0
Aug-2018,0
Sep-2018,66.8
Oct-2018,8.2
Nov-2018,14.5
Dec-2018,3
Jan-2019,23
Feb-2019,43.1
Mar-2019,38.5
Apr-2019,74.7
May-2019,395.3
Jun-2019,57
Jul-2019,106.7
Aug-2019,103.1
Sep-2019,351.5
Oct-2019,158
Nov-2019,0
Dec-2019,0
Jan-2020,10.4
Feb-2020,7.1
Mar-2020,0
Apr-2020,0
May-2020,212.1
Jun-2020,682.3
Jul-2020,412.4
Aug-2020,206.5
Sep-2020,307.3
Oct-2020,241.3
Nov-2020,1.8
Dec-2020,0
Jan-2021,0
Feb-2021,0
Mar-2021,0.5
Apr-2021,0
May-2021,280.1
Jun-2021,347.5
Jul-2021,212
Aug-2021,381.9
Sep-2021,150.2
Oct-2021,120.7
Nov-2021,7.6
Dec-2021,10.2
Jan-2022,36.1
Feb-2022,7.6
Mar-2022,37.6
Apr-2022,248.4
May-2022,0
Jun-2022,0
Jul-2022,0
