Dates,ACTUAL (mm)
May-2015,509.2
Jun-2015,583.6
Jul-2015,391.6
Aug-2015,829.4
Sep-2015,489.6
Oct-2015,3
Nov-2015,13.6
Dec-2015,0
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,0
May-2016,235
Jun-2016,743.2
Jul-2016,1021.4
Aug-2016,197.6
Sep-2016,616.9
Oct-2016,204
Nov-2016,0
Dec-2016,0
Jan-2017,5.8
Feb-2017,0
Mar-2017,90.2
Apr-2017,79.7
May-2017,294.2
Jun-2017,325
Jul-2017,439.1
Aug-2017,878.1
Sep-2017,318
Oct-2017,212.6
Nov-2017,0
Dec-2017,0
Jan-2018,0
Feb-2018,2
Mar-2018,21.6
Apr-2018,152.4
May-2018,372.8
Jun-2018,699.6
Jul-2018,793.9
Aug-2018,474
Sep-2018,573.6
Oct-2018,13.4
Nov-2018,0
Dec-2018,1.6
Jan-2019,0
Feb-2019,11
Mar-2019,35
Apr-2019,89.2
May-2019,109.4
Jun-2019,0.4
Jul-2019,397.2
Aug-2019,241
Sep-2019,484.4
Oct-2019,33.2
Nov-2019,0
Dec-2019,0
Jan-2020,0
Feb-2020,138
Mar-2020,1
Apr-2020,17.2
May-2020,740.9
Jun-2020,755.4
Jul-2020,1142.8
Aug-2020,520.6
Sep-2020,1257.5
Oct-2020,32.6
Nov-2020,0.4
Dec-2020,2.8
Jan-2021,151.4
Feb-2021,3
Mar-2021,49.4
Apr-2021,17
May-2021,191.6
Jun-2021,355.6
Jul-2021,506.4
Aug-2021,593.8
Sep-2021,283.2
Oct-2021,316.4
Nov-2021,0
Dec-2021,1.6
Jan-2022,6.4
Feb-2022,37.2
Mar-2022,22.2
Apr-2022,97.8
May-2022,0
Jun-2022,0
Jul-2022,0
