Dates,ACTUAL (mm)
May-2015,344
Jun-2015,805.7
Jul-2015,354.3
Aug-2015,1325.8
Sep-2015,476.6
Oct-2015,22.2
Nov-2015,31.8
Dec-2015,0
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,0
May-2016,591.5
Jun-2016,896.1
Jul-2016,1164.6
Aug-2016,183.4
Sep-2016,528.2
Oct-2016,211
Nov-2016,40.6
Dec-2016,0
Jan-2017,1.9
Feb-2017,1.9
Mar-2017,2.8
Apr-2017,76.3
May-2017,169
Jun-2017,659.4
Jul-2017,579.9
Aug-2017,1240
Sep-2017,473.8
Oct-2017,175.7
Nov-2017,2.1
Dec-2017,0
Jan-2018,2.4
Feb-2018,2.4
Mar-2018,40.4
Apr-2018,142.8
May-2018,325
Jun-2018,1011.3
Jul-2018,1062.5
Aug-2018,844.5
Sep-2018,784.9
Oct-2018,93.9
Nov-2018,2.5
Dec-2018,6
Jan-2019,0
Feb-2019,15.9
Mar-2019,75
Apr-2019,180.9
May-2019,264.7
Jun-2019,26.9
Jul-2019,532.2
Aug-2019,460.6
Sep-2019,804.7
Oct-2019,234.9
Nov-2019,3.1
Dec-2019,7.7
Jan-2020,0.4
Feb-2020,0
Mar-2020,0
Apr-2020,28
May-2020,391.9
Jun-2020,993.1
Jul-2020,1202.8
Aug-2020,714.5
Sep-2020,679
Oct-2020,67.8
Nov-2020,2.1
Dec-2020,1
Jan-2021,17.2
Feb-2021,35.8
Mar-2021,421.1
Apr-2021,1.1
May-2021,267.9
Jun-2021,663.4
Jul-2021,393.5
Aug-2021,959.1
Sep-2021,329
Oct-2021,211.9
Nov-2021,3.1
Dec-2021,1.6
Jan-2022,0.4
Feb-2022,29
Mar-2022,42.7
Apr-2022,283.3
May-2022,647
Jun-2022,0
Jul-2022,0
