Dates,ACTUAL (mm)
May-2015,73.6
Jun-2015,128.7
Jul-2015,93.3
Aug-2015,178.9
Sep-2015,103.3
Oct-2015,47.4
Nov-2015,0
Dec-2015,0
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,69
May-2016,150.3
Jun-2016,84.9
Jul-2016,255.3
Aug-2016,69.5
Sep-2016,177.2
Oct-2016,85.8
Nov-2016,76.4
Dec-2016,0
Jan-2017,0
Feb-2017,0
Mar-2017,5.9
Apr-2017,80.9
May-2017,140.5
Jun-2017,198
Jul-2017,225.2
Aug-2017,175.5
Sep-2017,278.5
Oct-2017,132.8
Nov-2017,1.2
Dec-2017,0
Jan-2018,8.1
Feb-2018,0
Mar-2018,55.8
Apr-2018,62.2
May-2018,10
Jun-2018,12
Jul-2018,0
Aug-2018,0
Sep-2018,142.7
Oct-2018,12.9
Nov-2018,0
Dec-2018,40.2
Jan-2019,0
Feb-2019,36.6
Mar-2019,19.7
Apr-2019,79.4
May-2019,117.8
Jun-2019,6.3
Jul-2019,47
Aug-2019,128.7
Sep-2019,253.2
Oct-2019,139.4
Nov-2019,154.2
Dec-2019,0
Jan-2020,97.2
Feb-2020,5.8
Mar-2020,0
Apr-2020,11
May-2020,518.8
Jun-2020,196.4
Jul-2020,193.3
Aug-2020,35.4
Sep-2020,242.8
Oct-2020,215.6
Nov-2020,49.6
Dec-2020,1.2
Jan-2021,0
Feb-2021,292
Mar-2021,29.4
Apr-2021,450.2
May-2021,125.3
Jun-2021,99.6
Jul-2021,190.6
Aug-2021,144.4
Sep-2021,127
Oct-2021,235.4
Nov-2021,0
Dec-2021,2.7
Jan-2022,20.4
Feb-2022,22.8
Mar-2022,1.2
Apr-2022,82.4
May-2022,0
Jun-2022,0
Jul-2022,0
