Dates,ACTUAL (mm)
May-2015,88.1
Jun-2015,46.3
Jul-2015,120.5
Aug-2015,308.6
Sep-2015,121.7
Oct-2015,43
Nov-2015,0
Dec-2015,0
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,431.6
May-2016,32.8
Jun-2016,151.3
Jul-2016,32.1
Aug-2016,132.4
Sep-2016,220
Oct-2016,51
Nov-2016,10
Dec-2016,0
Jan-2017,0.5
Feb-2017,321.5
Mar-2017,736.8
Apr-2017,536.1
May-2017,167.5
Jun-2017,162
Jul-2017,85.6
Aug-2017,427.2
Sep-2017,40.3
Oct-2017,246.3
Nov-2017,0.4
Dec-2017,0
Jan-2018,25.9
Feb-2018,62.8
Mar-2018,441.4
Apr-2018,38.7
May-2018,0
Jun-2018,0
Jul-2018,59.6
Aug-2018,92.8
Sep-2018,23.1
Oct-2018,58.2
Nov-2018,79.8
Dec-2018,37.2
Jan-2019,41.7
Feb-2019,165.7
Mar-2019,231.1
Apr-2019,100.7
May-2019,192.6
Jun-2019,5.2
Jul-2019,0.7
Aug-2019,11.6
Sep-2019,154
Oct-2019,213.7
Nov-2019,3.5
Dec-2019,39.5
Jan-2020,497.4
Feb-2020,8.2
Mar-2020,0
Apr-2020,352
May-2020,2465.6
Jun-2020,122.5
Jul-2020,125.4
Aug-2020,122.1
Sep-2020,94.4
Oct-2020,80.4
Nov-2020,46.3
Dec-2020,0
Jan-2021,2.4
Feb-2021,24
Mar-2021,387.9
Apr-2021,255.3
May-2021,297.3
Jun-2021,50.6
Jul-2021,125.2
Aug-2021,116.6
Sep-2021,29
Oct-2021,35.4
Nov-2021,2.6
Dec-2021,6.1
Jan-2022,93.6
Feb-2022,87.6
Mar-2022,66.5
Apr-2022,830.7
May-2022,472.5
Jun-2022,184
Jul-2022,17.5
