Dates,ACTUAL (mm)
May-2015,543.8
Jun-2015,953
Jul-2015,352.4
Aug-2015,799.1
Sep-2015,292.2
Oct-2015,7.4
Nov-2015,30.6
Dec-2015,0
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,375.8
May-2016,600.8
Jun-2016,709.8
Jul-2016,136.2
Aug-2016,246.4
Sep-2016,73.4
Oct-2016,0
Nov-2016,0
Dec-2016,0
Jan-2017,0
Feb-2017,42.6
Mar-2017,112.8
Apr-2017,366
May-2017,225.4
Jun-2017,432
Jul-2017,439.2
Aug-2017,662.4
Sep-2017,634.2
Oct-2017,330
Nov-2017,12.4
Dec-2017,0
Jan-2018,0
Feb-2018,7.8
Mar-2018,119
Apr-2018,229
May-2018,720
Jun-2018,473.6
Jul-2018,534.1
Aug-2018,153.6
Sep-2018,720.6
Oct-2018,58.6
Nov-2018,14.4
Dec-2018,9.8
Jan-2019,0
Feb-2019,22.2
Mar-2019,45.8
Apr-2019,157.6
May-2019,611.8
Jun-2019,1
Jul-2019,423
Aug-2019,225.6
Sep-2019,660.4
Oct-2019,585.2
Nov-2019,124.6
Dec-2019,0
Jan-2020,2.6
Feb-2020,0
Mar-2020,0
Apr-2020,61.6
May-2020,866.6
Jun-2020,1033.4
Jul-2020,1145
Aug-2020,375.6
Sep-2020,1055
Oct-2020,59.2
Nov-2020,37.2
Dec-2020,0
Jan-2021,8
Feb-2021,3.2
Mar-2021,134.4
Apr-2021,161.6
May-2021,265.6
Jun-2021,778.2
Jul-2021,533.2
Aug-2021,459.4
Sep-2021,219.4
Oct-2021,351
Nov-2021,5.6
Dec-2021,0.6
Jan-2022,16.6
Feb-2022,45
Mar-2022,28.6
Apr-2022,398.2
May-2022,392.8
Jun-2022,63
Jul-2022,164.8
