Dates,ACTUAL (mm)
May-2015,119.1
Jun-2015,365.8
Jul-2015,114.2
Aug-2015,610.5
Sep-2015,237.8
Oct-2015,79.8
Nov-2015,60
Dec-2015,0
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,397
May-2016,353.6
Jun-2016,240.6
Jul-2016,560.6
Aug-2016,148.8
Sep-2016,375.8
Oct-2016,63.8
Nov-2016,27.8
Dec-2016,0
Jan-2017,0
Feb-2017,0
Mar-2017,73.4
Apr-2017,200.8
May-2017,244.4
Jun-2017,243
Jul-2017,454.8
Aug-2017,426.2
Sep-2017,341.4
Oct-2017,236.6
Nov-2017,21
Dec-2017,0
Jan-2018,31.2
Feb-2018,49
Mar-2018,189.2
Apr-2018,137.4
May-2018,34.8
Jun-2018,34.6
Jul-2018,9.1
Aug-2018,0.4
Sep-2018,179.3
Oct-2018,32.2
Nov-2018,14.4
Dec-2018,48.2
Jan-2019,26.2
Feb-2019,97.2
Mar-2019,116.2
Apr-2019,119.8
May-2019,685.2
Jun-2019,47.6
Jul-2019,224.8
Aug-2019,178.8
Sep-2019,294.3
Oct-2019,147.4
Nov-2019,60
Dec-2019,8.5
Jan-2020,22
Feb-2020,182.7
Mar-2020,2.2
Apr-2020,0
May-2020,148
Jun-2020,588.6
Jul-2020,572.2
Aug-2020,436.3
Sep-2020,343.1
Oct-2020,140.4
Nov-2020,70.7
Dec-2020,0
Jan-2021,2.8
Feb-2021,36.9
Mar-2021,79.1
Apr-2021,73.8
May-2021,1168.3
Jun-2021,411.9
Jul-2021,231.8
Aug-2021,317.7
Sep-2021,16.3
Oct-2021,52.4
Nov-2021,10.4
Dec-2021,26.2
Jan-2022,43.6
Feb-2022,40.8
Mar-2022,19.6
Apr-2022,471.6
May-2022,0.4
Jun-2022,0
Jul-2022,0
