Dates,ACTUAL (mm)
May-2015,267.2
Jun-2015,905.1
Jul-2015,645.2
Aug-2015,989.4
Sep-2015,516
Oct-2015,143.2
Nov-2015,27.2
Dec-2015,0
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,0
May-2016,276.4
Jun-2016,735.4
Jul-2016,1375.7
Aug-2016,367.2
Sep-2016,834.8
Oct-2016,196
Nov-2016,0
Dec-2016,1.2
Jan-2017,2.3
Feb-2017,0
Mar-2017,100.4
Apr-2017,126.8
May-2017,350.6
Jun-2017,901.6
Jul-2017,682.6
Aug-2017,1149.2
Sep-2017,722
Oct-2017,119.2
Nov-2017,13.8
Dec-2017,0
Jan-2018,0.8
Feb-2018,0.4
Mar-2018,90.6
Apr-2018,59.4
May-2018,634.4
Jun-2018,633.6
Jul-2018,698.2
Aug-2018,726.4
Sep-2018,929
Oct-2018,228.5
Nov-2018,1.4
Dec-2018,7
Jan-2019,0
Feb-2019,20.4
Mar-2019,66.8
Apr-2019,173.4
May-2019,294.2
Jun-2019,2.2
Jul-2019,468
Aug-2019,283
Sep-2019,634.6
Oct-2019,148.2
Nov-2019,0.6
Dec-2019,0.2
Jan-2020,6.6
Feb-2020,0
Mar-2020,0.4
Apr-2020,24.6
May-2020,214.6
Jun-2020,691.2
Jul-2020,1234.6
Aug-2020,528.8
Sep-2020,762.8
Oct-2020,209.6
Nov-2020,12.4
Dec-2020,4.6
Jan-2021,22.6
Feb-2021,0
Mar-2021,13
Apr-2021,20.8
May-2021,294.4
Jun-2021,730
Jul-2021,623.2
Aug-2021,1121.8
Sep-2021,278
Oct-2021,242.4
Nov-2021,0
Dec-2021,1.8
Jan-2022,13.4
Feb-2022,46.6
Mar-2022,24.6
Apr-2022,54.6
May-2022,0
Jun-2022,0
Jul-2022,0
