Dates,ACTUAL (mm)
May-2015,344.6
Jun-2015,177
Jul-2015,141.2
Aug-2015,192.4
Sep-2015,98.6
Oct-2015,53
Nov-2015,0
Dec-2015,0
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,326.3
May-2016,187.3
Jun-2016,288.1
Jul-2016,237.7
Aug-2016,150
Sep-2016,243.8
Oct-2016,63.2
Nov-2016,7.2
Dec-2016,0
Jan-2017,0
Feb-2017,0
Mar-2017,31
Apr-2017,99.4
May-2017,232.4
Jun-2017,184.4
Jul-2017,200.6
Aug-2017,81.1
Sep-2017,246.6
Oct-2017,175.6
Nov-2017,4.8
Dec-2017,0
Jan-2018,7.6
Feb-2018,23
Mar-2018,89.8
Apr-2018,59.6
May-2018,10.8
Jun-2018,14.2
Jul-2018,30.8
Aug-2018,8.6
Sep-2018,15
Oct-2018,8.4
Nov-2018,46.2
Dec-2018,25.2
Jan-2019,4
Feb-2019,29.8
Mar-2019,70
Apr-2019,259.8
May-2019,285.4
Jun-2019,24.8
Jul-2019,54.4
Aug-2019,131.7
Sep-2019,211.5
Oct-2019,98.2
Nov-2019,0
Dec-2019,0
Jan-2020,17.2
Feb-2020,7.4
Mar-2020,1
Apr-2020,98.5
May-2020,454.4
Jun-2020,211.2
Jul-2020,261.6
Aug-2020,187.4
Sep-2020,223.4
Oct-2020,185.6
Nov-2020,12.4
Dec-2020,0
Jan-2021,24.3
Feb-2021,2
Mar-2021,19.9
Apr-2021,172.6
May-2021,257.8
Jun-2021,266.4
Jul-2021,313.8
Aug-2021,235.4
Sep-2021,124.8
Oct-2021,111
Nov-2021,14.2
Dec-2021,1.2
Jan-2022,35.2
Feb-2022,55.5
Mar-2022,27.8
Apr-2022,201.8
May-2022,0
Jun-2022,0
Jul-2022,0
