Dates,ACTUAL (mm)
May-2015,95.4
Jun-2015,162.2
Jul-2015,282.6
Aug-2015,258.6
Sep-2015,133.8
Oct-2015,37
Nov-2015,22
Dec-2015,0
Jan-2016,0
Feb-2016,6.8
Mar-2016,18.2
Apr-2016,100.2
May-2016,93.2
Jun-2016,179
Jul-2016,255.6
Aug-2016,150.4
Sep-2016,283.6
Oct-2016,25
Nov-2016,0
Dec-2016,0
Jan-2017,8
Feb-2017,1.8
Mar-2017,81.2
Apr-2017,55
May-2017,61.6
Jun-2017,64.4
Jul-2017,261
Aug-2017,157
Sep-2017,235.02
Oct-2017,45
Nov-2017,2.2
Dec-2017,0
Jan-2018,0
Feb-2018,10.2
Mar-2018,39.6
Apr-2018,90.6
May-2018,115.4
Jun-2018,106
Jul-2018,202
Aug-2018,182.6
Sep-2018,86.2
Oct-2018,13.8
Nov-2018,0
Dec-2018,16.8
Jan-2019,9.2
Feb-2019,13.8
Mar-2019,20.6
Apr-2019,0
May-2019,0
Jun-2019,0
Jul-2019,0
Aug-2019,0
Sep-2019,0
Oct-2019,0
Nov-2019,0
Dec-2019,0
Jan-2020,0
Feb-2020,0
Mar-2020,14.6
Apr-2020,7.8
May-2020,150.96
Jun-2020,293
Jul-2020,611.2
Aug-2020,515.2
Sep-2020,402.8
Oct-2020,82.2
Nov-2020,0
Dec-2020,7.2
Jan-2021,9
Feb-2021,18.8
Mar-2021,47.6
Apr-2021,41.2
May-2021,333.9
Jun-2021,263.6
Jul-2021,708.6
Aug-2021,697.4
Sep-2021,227.4
Oct-2021,372.8
Nov-2021,15.6
Dec-2021,31.2
Jan-2022,13.2
Feb-2022,40.6
Mar-2022,50.6
Apr-2022,23
May-2022,0
Jun-2022,0
Jul-2022,0
