Dates,ACTUAL (mm)
May-2015,673
Jun-2015,721
Jul-2015,483
Aug-2015,816.4
Sep-2015,235.2
Oct-2015,93.7
Nov-2015,32.4
Dec-2015,16.8
Jan-2016,59.2
Feb-2016,26.8
Mar-2016,193.4
Apr-2016,3
May-2016,368.6
Jun-2016,577.1
Jul-2016,518.8
Aug-2016,341.6
Sep-2016,482
Oct-2016,110.8
Nov-2016,0
Dec-2016,0
Jan-2017,25
Feb-2017,1.8
Mar-2017,81.2
Apr-2017,55
May-2017,61.6
Jun-2017,64.4
Jul-2017,261
Aug-2017,157
Sep-2017,235.02
Oct-2017,45
Nov-2017,2.2
Dec-2017,0
Jan-2018,0
Feb-2018,10.2
Mar-2018,39.6
Apr-2018,90.6
May-2018,115.4
Jun-2018,106
Jul-2018,202
Aug-2018,182.6
Sep-2018,86.2
Oct-2018,13.8
Nov-2018,0
Dec-2018,16.8
Jan-2019,9.2
Feb-2019,13.8
Mar-2019,20.6
Apr-2019,259.8
May-2019,285.4
Jun-2019,24.8
Jul-2019,54.4
Aug-2019,131.7
Sep-2019,211.5
Oct-2019,98.2
Nov-2019,0
Dec-2019,0
Jan-2020,17.2
Feb-2020,7.4
Mar-2020,1
Apr-2020,98.5
May-2020,454.4
Jun-2020,2112.5
Jul-2020,825.8
Aug-2020,397.6
Sep-2020,313.8
Oct-2020,265.8
Nov-2020,34.8
Dec-2020,12.2
Jan-2021,233.2
Feb-2021,47.8
Mar-2021,344.8
Apr-2021,1257.6
May-2021,3673.8
Jun-2021,1798.6
Jul-2021,446.2
Aug-2021,563.5
Sep-2021,258.4
Oct-2021,279.2
Nov-2021,57.4
Dec-2021,4.8
Jan-2022,58
Feb-2022,111.2
Mar-2022,134
Apr-2022,507
May-2022,18.2
Jun-2022,0
Jul-2022,0
