Dates,ACTUAL (mm)
May-2015,428.1
Jun-2015,762
Jul-2015,247.6
Aug-2015,529.6
Sep-2015,491.6
Oct-2015,44.2
Nov-2015,0
Dec-2015,0
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,175.4
May-2016,495.8
Jun-2016,550.4
Jul-2016,588.4
Aug-2016,196.9
Sep-2016,751.2
Oct-2016,334.8
Nov-2016,0
Dec-2016,0
Jan-2017,0
Feb-2017,12.6
Mar-2017,8.4
Apr-2017,650.8
May-2017,374.4
Jun-2017,503.6
Jul-2017,704.4
Aug-2017,482.8
Sep-2017,488.8
Oct-2017,419.4
Nov-2017,28
Dec-2017,13
Jan-2018,99.4
Feb-2018,81.2
Mar-2018,388
Apr-2018,236.51
May-2018,35.3
Jun-2018,17.8
Jul-2018,4.6
Aug-2018,20.4
Sep-2018,51.6
Oct-2018,23
Nov-2018,242.4
Dec-2018,0
Jan-2019,27.3
Feb-2019,329.2
Mar-2019,449
Apr-2019,196.2
May-2019,394.3
Jun-2019,14.2
Jul-2019,195
Aug-2019,156.2
Sep-2019,504.6
Oct-2019,159.2
Nov-2019,431.8
Dec-2019,83.2
Jan-2020,42.6
Feb-2020,39.2
Mar-2020,23.4
Apr-2020,0
May-2020,265.4
Jun-2020,620.4
Jul-2020,766.3
Aug-2020,376.4
Sep-2020,483.4
Oct-2020,595.2
Nov-2020,240
Dec-2020,38.8
Jan-2021,49
Feb-2021,15.8
Mar-2021,242.4
Apr-2021,480.4
May-2021,498.6
Jun-2021,757.2
Jul-2021,389.2
Aug-2021,927.4
Sep-2021,244.2
Oct-2021,264.8
Nov-2021,10.4
Dec-2021,38.2
Jan-2022,108.2
Feb-2022,199.4
Mar-2022,368.1
Apr-2022,640.26
May-2022,163
Jun-2022,0.5
Jul-2022,0
